예보일시,시도명,시군구명,읍면동명,실효습도,풍속,등급
2017-02-10 12:00,경상남도,함안군,가야읍,40.7,7.6,주의보
2017-02-10 12:00,경상남도,함안군,함안면,37.7,7.5,주의보
2017-02-10 12:00,경상남도,함안군,대산면,41.3,7.6,주의보
2017-02-10 12:00,경상남도,함안군,대산면,38.4,8.5,주의보
2017-02-10 12:00,경상남도,함안군,칠북면,35.3,8.7,주의보
2017-02-10 12:00,경상남도,함안군,칠원면,34.6,8.2,주의보
2017-02-10 12:00,경상남도,함안군,산인면,35.1,7.9,주의보
2017-02-10 12:00,경상남도,함안군,여항면,36.1,7.2,주의보
2017-02-10 12:00,경상남도,창녕군,길곡면,38.7,8.9,주의보
2017-02-10 12:00,경상남도,창녕군,부곡면,38.7,8,주의보
2017-02-10 12:00,경상남도,창녕군,부곡면,38.6,7.5,주의보
2017-02-10 12:00,경상남도,창녕군,부곡면,38.6,8,주의보
2017-02-10 12:00,경상남도,고성군,개천면,38.2,7.2,주의보
2017-02-10 12:00,경상남도,고성군,구만면,38.3,7.2,주의보
2017-02-10 12:00,경상남도,고성군,구만면,38.6,7.9,주의보
2017-02-10 12:00,경상남도,고성군,회화면,37.2,7,주의보
2017-02-10 13:00,부산광역시,강서구,화전동,35.2,7.7,주의보
2017-02-10 13:00,울산광역시,울주군,범서읍,35,7.5,주의보
2017-02-10 13:00,경상남도,창원시 의창구,북면,36.5,7,주의보
2017-02-10 13:00,경상남도,창원시 의창구,북면,34.9,7.6,주의보
2017-02-10 13:00,경상남도,창원시 의창구,북면,34.6,7,주의보
2017-02-10 13:00,경상남도,창원시 의창구,북면,37.7,7.5,주의보
2017-02-10 13:00,경상남도,창원시 마산합포구,진전면,37.3,7.9,주의보
2017-02-10 13:00,경상남도,창원시 마산합포구,진전면,37.3,7.6,주의보
2017-02-10 13:00,경상남도,창원시 마산회원구,내서읍,32.8,7.3,주의보
2017-02-10 13:00,경상남도,진주시,이반성면,38.6,8.6,주의보
2017-02-10 13:00,경상남도,진주시,이반성면,37.8,7.8,주의보
